relationship_id,nlcs_id,relationship_type,related_brim_layer_family,related_feature_identifier,related_feature_name,source_or_spatial_derivation_method,evidence_title,evidence_url,verification_date,confidence,brim_should_calculate_from_current_local_data,normal_popup_suitable,notes
REL-NLCS002009-NCLS,NLCS002009,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002009-CDCA,NLCS002009,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002009-DRECP,NLCS002009,source_document_relationship,DRECP,,DRECP ecoregion subarea Basin and Range Subarea,exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Exact root name; DRECP adds the label “Subarea”.
REL-NLCS002009-SPATIAL-NATIONAL-MONUMENTS,NLCS002009,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002009-SPATIAL-FEDERAL-WILDERNESS,NLCS002009,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002009-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002009,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002009-SPATIAL-ACECS,NLCS002009,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002009-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002009,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002009-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002009,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002009-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002009,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002010-NCLS,NLCS002010,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002010-CDCA,NLCS002010,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002010-DRECP,NLCS002010,source_document_relationship,DRECP,,DRECP ecoregion subarea Coachella Valley,exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Exact name match.
REL-NLCS002010-SPATIAL-NATIONAL-MONUMENTS,NLCS002010,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002010-SPATIAL-FEDERAL-WILDERNESS,NLCS002010,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002010-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002010,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002010-SPATIAL-ACECS,NLCS002010,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002010-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002010,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002010-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002010,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002010-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002010,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002011-NCLS,NLCS002011,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
REL-NLCS002011-CDCA,NLCS002011,legal_or_programmatic_relationship,CDCA,,California Desert Conservation Area,statutory/programmatic,43 U.S.C. 1781,https://www.govinfo.gov/content/pkg/USCODE-2024-title43/html/USCODE-2024-title43-chap35-subchapVI-sec1781.htm,2026-08-04,high,false,true,BLM planning authority concerns public lands; other agencies retain jurisdiction over their lands.
REL-NLCS002011-DRECP,NLCS002011,source_document_relationship,DRECP,,DRECP ecoregion subarea Colorado Desert,exact_or_reviewed_name_crosswalk_to_DRECP_LUPA,DRECP LUPA,https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan,2026-08-04,high,false,true,Exact name match.
REL-NLCS002011-SPATIAL-NATIONAL-MONUMENTS,NLCS002011,spatial_overlap_to_be_derived_in_brim,National Monuments,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002011-SPATIAL-FEDERAL-WILDERNESS,NLCS002011,spatial_overlap_to_be_derived_in_brim,Federal Wilderness,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002011-SPATIAL-WILDERNESS-STUDY-AREAS,NLCS002011,spatial_overlap_to_be_derived_in_brim,Wilderness Study Areas,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002011-SPATIAL-ACECS,NLCS002011,spatial_overlap_to_be_derived_in_brim,ACECs,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002011-SPATIAL-NATIONAL-SCENIC-AND-HISTORIC-TRAILS,NLCS002011,spatial_overlap_to_be_derived_in_brim,National Scenic and Historic Trails,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002011-SPATIAL-WILD-AND-SCENIC-RIVERS,NLCS002011,spatial_overlap_to_be_derived_in_brim,Wild and Scenic Rivers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002011-SPATIAL-OTHER-LOCAL-REFERENCE-LAYERS,NLCS002011,spatial_overlap_to_be_derived_in_brim,Other Local Reference layers,,,BRIM should intersect or query its current authoritative local-layer data; do not duplicate geometry in this package.,BRIM Local Reference architecture contract,,2026-08-04,derived,true,only_after_current_derivation,A spatial overlap does not make the designations identical or transfer legal authority.
REL-NLCS002012-NCLS,NLCS002012,legal_or_programmatic_relationship,National Conservation Lands system,,National Landscape Conservation System / National Conservation Lands,statutory/programmatic,16 U.S.C. 7202,https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title16-section7202,2026-08-04,high,false,true,System relationship does not establish a uniform individual designation class.
