"source_nlcs_id","narrative_field","narrative_text","source_register_id","source_title","source_agency","source_url","source_register_url","source_scope","source_applicability","text_treatment","verified_on","confidence","normal_popup_approved","package_origin_file","package_origin_line","package_origin_field","override_origin_file","override_origin_line","audit_note"
"NLCS000280","trail_summary_short","A broad network of nineteenth-century emigrant routes from the Missouri River toward California and Oregon.","SRC012","Four National Historic Trails Long-Range Interpretive Plan","National Park Service","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","multi_trail_california_pony","direct_trail","curated_summary","2026-08-05","high",TRUE,"brim_trails_reference.csv",2,"trail_summary_short","","","Supported by California-specific purpose, significance, and subtheme material in the official plan."
"NLCS000280","historic_or_scenic_significance","NPS identifies the California Trail as nationally significant for the impacts of western overland migration and its effects on settlement, transportation, politics, and cultures.","SRC012","Four National Historic Trails Long-Range Interpretive Plan","National Park Service","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","multi_trail_california_pony","direct_trail","attributed_paraphrase","2026-08-05","high",TRUE,"brim_trails_reference.csv",2,"historic_or_scenic_significance","","","Rewritten as an attributed paraphrase of the official trail-specific significance statements."
"NLCS000280","indigenous_context","The NPS interpretive plan describes the overland-trail corridors as crossing American Indian homelands and documents resource loss, disease, violence, and loss of homeland, while also emphasizing Indigenous survival.","SRC012","Four National Historic Trails Long-Range Interpretive Plan","National Park Service","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","multi_trail_california_pony","direct_trail","attributed_paraphrase","2026-08-05","high",TRUE,"brim_trails_reference.csv",2,"indigenous_context","brim_trails_curated_overrides.csv",4,"The package text was a synthesis; the prescriptive sentence was removed and the claimed BLM page was replaced by the directly applicable NPS interpretive plan."
"NLCS000281","trail_summary_short","The 1860–1861 horseback mail route between St. Joseph, Missouri, and Sacramento, California.","SRC018","Four National Historic Trails Long-Range Interpretive Plan","National Park Service","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","multi_trail_california_pony","direct_trail","curated_summary","2026-08-05","high",TRUE,"brim_trails_reference.csv",3,"trail_summary_short","","","Supported by the official Pony Express purpose and significance material."
"NLCS000281","historic_or_scenic_significance","NPS identifies the Pony Express as nationally significant for its rapid east–west communication system, contributions to commerce and journalism, and enduring place in the image of the American West.","SRC018","Four National Historic Trails Long-Range Interpretive Plan","National Park Service","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","https://www.nps.gov/cali/learn/management/upload/2010-07-22-NationalHistoricTrails-LRIP-FinalDocument.pdf","multi_trail_california_pony","direct_trail","attributed_paraphrase","2026-08-05","high",TRUE,"brim_trails_reference.csv",3,"historic_or_scenic_significance","","","Rewritten as an attributed paraphrase of the official trail-specific significance statements."
"NLCS000281","indigenous_context","NPS interpretation of the Pyramid Lake War documents how mineral-seeker encroachment and Pony Express stations’ use of critical water sources affected Paiute lands and resources and contributed to conflict in 1860.","SRC053","Pony Express and Indigenous conflict interpretation","National Park Service","https://www.nps.gov/articles/000/the-pyramid-lake-war.htm","https://www.nps.gov/poex/learn/historyculture/pyramid-lake-war.htm","trail_specific","direct_trail","attributed_paraphrase","2026-08-05","high",TRUE,"brim_trails_reference.csv",3,"indigenous_context","brim_trails_curated_overrides.csv",8,"The package cited a BLM overview; the corrected narrative uses the directly applicable NPS interpretive source registered as SRC053."
"NLCS000282","trail_summary_short","A network of pack-trade routes linking New Mexico and Southern California, especially during 1829–1848.","SRC020","Old Spanish National Historic Trail Comprehensive Administrative Strategy","National Park Service and Bureau of Land Management","https://parkplanning.nps.gov/showFile.cfm?projectID=12591&sfid=317742","https://parkplanning.nps.gov/Final-OLSP-CAS","trail_specific","direct_trail","curated_summary","2026-08-05","high",TRUE,"brim_trails_reference.csv",4,"trail_summary_short","","","Supported by the official strategy's description and period of significance."
"NLCS000282","historic_or_scenic_significance","BLM and NPS identify the Old Spanish Trail as a nationally significant international trade network connecting New Mexico and California and incorporating earlier exploration and travel routes.","SRC020","Old Spanish National Historic Trail Comprehensive Administrative Strategy","National Park Service and Bureau of Land Management","https://parkplanning.nps.gov/showFile.cfm?projectID=12591&sfid=317742","https://parkplanning.nps.gov/Final-OLSP-CAS","trail_specific","direct_trail","attributed_paraphrase","2026-08-05","high",TRUE,"brim_trails_reference.csv",4,"historic_or_scenic_significance","","","Rewritten as an attributed paraphrase of the final strategy's significance statements."
"NLCS000282","indigenous_context","The BLM–NPS administrative strategy states that the route network included prehistoric Indigenous paths and that commercial traffic intensified irreversible changes to the livelihoods of American Indian tribes along the routes; it also documents captivity and enslavement within the trail economy.","SRC020","Old Spanish National Historic Trail Comprehensive Administrative Strategy","National Park Service and Bureau of Land Management","https://parkplanning.nps.gov/showFile.cfm?projectID=12591&sfid=317742","https://parkplanning.nps.gov/Final-OLSP-CAS","trail_specific","direct_trail","attributed_paraphrase","2026-08-05","high",TRUE,"brim_trails_reference.csv",4,"indigenous_context","brim_trails_curated_overrides.csv",12,"The package's prescriptive sentence was removed; the replacement is limited to findings in the final strategy."
"NLCS000283","trail_summary_short","Commemorates the complex histories and landscapes of the 1775–1776 Spanish colonizing expedition to San Francisco Bay.","SRC027","Juan Bautista de Anza National Historic Trail Foundation Document","National Park Service","https://www.nps.gov/juba/getinvolved/upload/JUBA_FD_508_2023-0329.pdf","https://www.nps.gov/juba/getinvolved/upload/JUBA_FD_508_2023-0329.pdf","trail_specific","direct_trail","curated_summary","2026-08-05","high",TRUE,"brim_trails_reference.csv",5,"trail_summary_short","","","Supported by the foundation document's brief description and trail purpose."
