decision_id,decision_group,major_source_rows,delta_source_rows,canonical_name,aliases_to_retain,parent_system,project_family_seed,project_name_seed,project_unit_seed,geometry_rule,component_mode,include_curated,confidence,notes
1,review_case,898,417,I / J Drains (source name unresolved),"""I"" Drains; ""J"" Drains",,,,,major,,TRUE,low,User selected Major geometry and asked to retain both conflicting names.
2,review_case,961,444,Briggs-West Gridley Irrigation District Traynor Lateral,BWGID Traynor Lateral,Briggs-West Gridley Irrigation District conveyance system,,,,delta,,TRUE,medium,Use DeltaMAPP geometry; do not retain the malformed Delta source name as a public alias.
3,review_case,1330,318,Camp Creek Tunnel,Camp Creek Diversion Tunnel,Reclamation conveyance system (project unit unassigned),,,,delta,,TRUE,high,Same facility; alternate naming.
4,review_case,17,349,Kern Island Canal – Central Branch,Central Branch,Kern Island Canal system,,,,delta,,TRUE,high,Use contextual full name and DeltaMAPP geometry.
5,review_case,1080,413,Colusa Basin Drainage Canal,Colusa Drain,Glenn-Colusa Irrigation District drainage system,,,,major,,TRUE,high,Use Major geometry; retain shortened alias and Delta operator attribution.
6,review_case,1198,298|355,O’Neill Forebay Inlet Channel,O'Neill Intake Channel; Delta-Mendota Canal (parent source name),Central Valley Project – San Luis Unit,,,,major,,TRUE,medium,Use Major geometry because DeltaMAPP showed doubled lines; preserve component/parent naming.
7,review_case,1098,252,East Park Feed Canal,East Park Feeder Canal,East Park / Reclamation conveyance system,,,,delta,,TRUE,high,DeltaMAPP matched USGS Hydrography better.
8,review_case,245,352,Folsom South Canal,Auburn-Folsom South Canal,Central Valley Project – American River Division,,,,major,,TRUE,high,Major Conveyance matched better.
9,review_case,1318,2|213,Thermalito Power Canal,Oroville (source project label),State Water Project – Oroville-Thermalito Complex,,,,delta,,TRUE,medium,Use DeltaMAPP to retain the canal continuation from Thermalito Forebay.
10,review_case,1106,232,San Luis Canal (California Aqueduct joint-use reach),California Aqueduct – San Luis; San Luis Canal,CVP–SWP joint-use system,CVP; SWP,Central Valley Project; State Water Project,San Luis Unit; California Aqueduct,delta,,TRUE,high,Official joint-use mileage supports DeltaMAPP row 232; retain both CVP and SWP memberships.
11,review_case,1200,321,Volta (San Luis) Wasteway,Volta Wasteway,Central Valley Project – San Luis Unit,,,,major,,TRUE,high,Use Major geometry.
12,review_case,1286,301,Mule Town Conduit,Clear Creek South Main Aqueduct,Clear Creek South Main Aqueduct / Reclamation conveyance system,,,,delta,,TRUE,medium,Retain both plausible component and parent-system names.
13,review_case,1041,192,Del Valle Branch,South Bay Aqueduct,State Water Project – South Bay Aqueduct,,,,delta,,TRUE,high,Branch-to-parent aqueduct relationship.
14,review_case,2,184,California Aqueduct – East Branch,California Aqueduct; East Branch,State Water Project – California Aqueduct,,,,delta,,TRUE,high,Canal reach; use DeltaMAPP.
15,review_case,1091,13,California Aqueduct – East Branch,California Aqueduct; East Branch,State Water Project – California Aqueduct,,,,major_plus_delta_extension,,TRUE,high,Pipeline reach; use Major spine and retain DeltaMAPP extension toward Lake Perris.
