source_id,title,agency,url,source_type,use,verification_date,limitations
src-001,BLM CA Federal Wilderness Areas Polygon FeatureServer,Bureau of Land Management,https://gis.blm.gov/caarcgis/rest/services/NCL/BLM_CA_Federal_Wilderness_Polygon/FeatureServer/0,Official GIS service,"Primary source geometry, IDs, managing-agency code, source GIS acreage, designation/component dates, modification dates.",2026-08-04,"State source can differ from national datasets; feature records may be agency components, additions, or noncontiguous geometries."
src-002,BLM CA Federal Wilderness Areas Polygon CSV download,Bureau of Land Management,https://gbp-blm-egis.hub.arcgis.com/api/download/v1/items/c85c6f3b33e6496fb5a64445a8eb754e/csv?layers=0,Official GIS download,Build-time source table used to produce the package.,2026-08-04,CSV omits geometry coordinates but retains area/length fields; builder fetches GeoJSON for spatial operations.
src-003,BLM CA Federal Wilderness dataset catalog,Bureau of Land Management / Data.gov,https://catalog.data.gov/dataset/blm-ca-federal-wilderness-areas-polygon,Official data catalog,"Dataset description, stewardship, and catalog metadata.",2026-08-04,Catalog timestamps and service feature modification dates describe different concepts.
src-004,Wilderness Areas in the United States FeatureServer,Interagency / Wilderness Connect,https://services1.arcgis.com/ERdCHt0sNM6dENSD/arcgis/rest/services/Wilderness_Areas_in_the_United_States/FeatureServer/0,Interagency GIS service,"Cross-reference for WID, state, reference acreage, designation year, description, agency components, and Wilderness Connect profile URL.",2026-08-04,Secondary compilation; not a substitute for statutory text or the BRIM source geometry.
src-005,Wilderness Connect GIS and GPS Data,Interagency / Wilderness Connect,https://wilderness.net/practitioners/gis-gps/,Interagency methodology and downloads,"Methodology, update history, data caveats, and national GIS provenance.",2026-08-04,Updated periodically from agency sources; agency data and legal maps remain controlling.
src-006,National Wilderness Preservation System Law Library,Interagency / Wilderness Connect,https://wilderness.net/practitioners/law/law-search/,Law cross-reference,Discovery and cross-checking of public laws affecting named wildernesses.,2026-08-04,Statutory text and official legislative records are controlling.
src-007,National Wilderness Preservation System — U.S. Code,U.S. House of Representatives,https://uscode.house.gov/view.xhtml?path=/prelim@title16/chapter23&edition=prelim,Official statutory codification,General legal authority and Wilderness Act framework.,2026-08-04,Area-specific public laws and incorporated maps may contain special provisions.
src-008,BLM Wilderness program,Bureau of Land Management,https://www.blm.gov/programs/national-conservation-lands/wilderness,Official agency program page,BLM distinction between designated wilderness and wilderness study areas; general management context.,2026-08-04,Area-specific management and access rules must come from local offices/plans.
src-009,Ridgecrest Field Office,Bureau of Land Management,https://www.blm.gov/office/ridgecrest-field-office,Official local office page,Verified office crosswalk for listed wildernesses.,2026-08-04,Office boundaries and web lists can change.
src-010,Palm Springs-South Coast Field Office,Bureau of Land Management,https://www.blm.gov/office/palm-springs-south-coast-field-office,Official local office page,Verified office crosswalk for listed wildernesses.,2026-08-04,Current alerts and closures are transient and not embedded as permanent popup facts.
src-011,Barstow Field Office,Bureau of Land Management,https://www.blm.gov/office/barstow-field-office,Official local office page,Verified office crosswalk for listed wildernesses.,2026-08-04,Office list may not enumerate every wilderness component.
src-012,El Centro Field Office,Bureau of Land Management,https://www.blm.gov/office/el-centro-field-office,Official local office page,Verified office crosswalk for listed wildernesses.,2026-08-04,Office list may not enumerate every wilderness component.
src-013,Bakersfield Field Office,Bureau of Land Management,https://www.blm.gov/office/bakersfield-field-office,Official local office page,"Verified office crosswalk for Chimney Peak, Domeland, and Sacatar Trail.",2026-08-04,Other BLM wilderness assignments require separate verification.
src-014,Needles Field Office,Bureau of Land Management,https://www.blm.gov/office/needles-field-office,Official local office page,Verified office crosswalk for Old Woman Mountains.,2026-08-04,The page does not enumerate all possible wildernesses in the office area.
src-015,Ukiah Field Office,Bureau of Land Management,https://www.blm.gov/office/ukiah-field-office,Official local office page,Verified office crosswalk for Cache Creek and Cedar Roughs.,2026-08-04,Office boundaries and page contents can change.
src-016,Bishop Field Office,Bureau of Land Management,https://www.blm.gov/office/bishop-field-office,Official local office page,Verified office crosswalk for Inyo Mountains and Granite Mountain.,2026-08-04,The page's special-areas list may not enumerate every BLM wilderness component.
src-017,Malpais Mesa Wilderness,Bureau of Land Management,https://www.blm.gov/visit/malpais-mesa-wilderness,Official area page,"Popup summary, office, map/access context, and general wilderness rules.",2026-08-04,Rules and conditions can change; check local office.
src-018,Domeland Wilderness,Bureau of Land Management,https://www.blm.gov/visit/domeland-wilderness,Official agency-component page,"BLM-addition distinction, Bakersfield office, access context, and component-specific summary.",2026-08-04,Describes the BLM addition rather than the entire multi-agency wilderness.
src-019,Joshua Tree Wilderness,National Park Service,https://www.nps.gov/jotr/learn/wilderness.htm,Official area page,"Designated/potential/proposed distinction, acreage categories, legal timeline, character summary.",2026-08-04,Park-wide acreage categories must not replace mapped source-component acreage.
src-020,High Sierra Hikers Association v. Powell,"U.S. District Court, N.D. California",https://law.justia.com/cases/federal/district-courts/FSupp2/150/1023/2468348/,Court opinion,Verified litigation record for Ansel Adams and John Muir Wildernesses.,2026-08-04,Legal summary is concise and not legal advice.
src-021,High Sierra Hikers Association v. Blackwell,"U.S. Court of Appeals, Ninth Circuit",https://law.justia.com/cases/federal/appellate-courts/F3/390/630/506649/,Court opinion,Verified litigation record for Ansel Adams and John Muir Wildernesses.,2026-08-04,Legal summary is concise and not legal advice.
src-022,Ventana Wilderness Alliance v. Bradford,"U.S. Court of Appeals, Ninth Circuit",https://cdn.ca9.uscourts.gov/datastore/memoranda/2009/02/26/07-16467.pdf,Court opinion,Verified litigation record for Ventana Wilderness.,2026-08-04,Unpublished disposition; concise research note is not legal advice.
src-023,BRIM raw Federal Wilderness shapefile (blmca_fedwldrnss.shp),BLM California / BRIM local data snapshot,,User-supplied BRIM GIS snapshot,"Direct verification of the actual BRIM layer record count, field schema, GlobalIDs, FAU_IDs, component geometry, calculated acreage, validity, and divergence from the current official service.",2026-08-05,Exported 2026-04-23T12:03:53; 192 CA-only records; DBF field names are truncated; OBJECTID is absent; contains two invalid polygons and material Santa Rosa / Death Valley–Inyo source-structure issues.
