id,title,provider,theme,desire,strength,custom,ease,linkOnly,likelyPanel,uiTier,serviceRootUrl,layerIds,exactLayerUrls,landingPage,secondaryUrl,serviceTypeGuess,sourceStatus,geometryGuess,currentTake,firstAuditTask,batch
AML_CA_FEATURES,CA mapped abandoned mine features,California DOC / Division of Mine Reclamation,AML / hazards / water quality,5,4.5,3.5,4,No,External or Hazards/Water Quality,A,https://services2.arcgis.com/zr3KAIbsRSUyARHG/ArcGIS/rest/services/Mapped_Abandoned_Mine_Features/FeatureServer,0,https://services2.arcgis.com/zr3KAIbsRSUyARHG/ArcGIS/rest/services/Mapped_Abandoned_Mine_Features/FeatureServer/0,https://www.conservation.ca.gov/dmr/abandoned_mine_lands,https://services2.arcgis.com/zr3KAIbsRSUyARHG/ArcGIS/rest/services/Mapped_Abandoned_Mine_Features/FeatureServer?f=pjson,ArcGIS FeatureServer,Known service lead,Point,Core BLM screening layer; high relevance to BLM-CA and water-quality screening. Must caveat generalized/obfuscated/incomplete locations.,"Inspect fields, status categories, query/GeoJSON support, symbology, and mandatory caveat text.",Batch 1
AML_PAMP,Principal Areas of Mine Pollution / mine pollution areas,California DOC / Division of Mine Reclamation,AML / water quality,5,4,3,2.5,Maybe,Water Quality / AML,A/B,,,,https://www.conservation.ca.gov/dmr/abandoned_mine_lands/pamp,https://maps.conservation.ca.gov/dmr/,Unknown; likely downloadable/static or request-limited,Needs source/data-path audit,Polygon/point/tabular unknown,Potentially more hydrology-relevant than mine points if accessible.,Find actual downloadable GIS/service endpoint and determine public BRIM appropriateness.,Batch 2
ACTIVE_MINES_SMARA,Active mines / SMARA / DOC mine status,California DOC / Division of Mine Reclamation,Mining / water quality / reclamation,4,4,3.5,3.5,No/Maybe,Mining / Water Quality,B,,,,https://maps.conservation.ca.gov/dmr/,https://www.conservation.ca.gov/dmr,ArcGIS service likely; endpoint TBD,Needs service endpoint audit,Point/polygon,"AML alone is not enough; current regulated mining matters for pits, tailings, reclamation, and water quality.",Identify mine-status service and layer IDs from DOC/DMR map services.,Batch 2
CA_GDE_NCCAG,California NCCAG / groundwater-dependent ecosystems / iGDE,California DWR,Groundwater / ecology / springs / wetlands,5,4.5,4,4,No,Groundwater / Biota / Hydro Screening,A,https://gis.water.ca.gov/arcgis/rest/services/Biota/i02_NaturalCommunitiesCommonlyAssociatedWithGroundwater/MapServer,"0,1",https://gis.water.ca.gov/arcgis/rest/services/Biota/i02_NaturalCommunitiesCommonlyAssociatedWithGroundwater/MapServer/0 ; https://gis.water.ca.gov/arcgis/rest/services/Biota/i02_NaturalCommunitiesCommonlyAssociatedWithGroundwater/MapServer/1,https://groundwaterresourcehub.org/where-we-work/california/mapping-indicators-gdes/,https://gis.water.ca.gov/arcgis/rest/services/Biota/i02_NaturalCommunitiesCommonlyAssociatedWithGroundwater/MapServer?f=pjson,ArcGIS MapServer,Known service lead,Polygon,"One of the biggest hydro/ecology gaps; valuable for springs, wetlands, phreatophytes, SGMA/GDE context. Screening/start-point only.","Confirm layer names, fields, legends, display scale, and DWR/NCCAG disclaimer language.",Batch 1
IMPAIRED_WATERS,303(d) / 305(b) impaired waters / TMDL context,California State Water Resources Control Board,Water quality,5,4.5,4,4,No,Water Quality,A,https://gispublic.waterboards.ca.gov/arcgis/rest/services/Water_Quality/Impaired_waters/MapServer,Audit all,,https://www.waterboards.ca.gov/water_issues/programs/tmdl/integrated2010.shtml,https://gispublic.waterboards.ca.gov/arcgis/rest/services/Water_Quality/Impaired_waters/MapServer?f=pjson,ArcGIS MapServer,Known service lead but currency must be verified,Mixed point/line/polygon or line/polygon,Core hydro screening layer; high BRIM value. Currency/listing cycle must be verified.,Verify current/best Water Boards service for latest 303(d)/305(b)/TMDL layers and identify sublayers.,Batch 1
INSAR_SUBSIDENCE,DWR / TRE Altamira InSAR land subsidence,California DWR / CNRA / TRE Altamira,Groundwater / infrastructure,4.5,4.5,3.5,3,No/Maybe,Groundwater / Central Valley,A/B,,,,https://data.cnra.ca.gov/dataset/tre-altamira-insar-subsidence,https://water.ca.gov/Programs/Groundwater-Management/Data-and-Tools,Download/static raster/vector or service TBD,Needs direct service/data-path audit,Raster or point/grid,"High-value groundwater stress/subsidence layer, especially Central Valley and infrastructure context.","Resolve current CNRA/DWR data URL, format, time slices, and best summary layer for BRIM.",Batch 2
NOHRSC_SNOW,NOHRSC snow analysis — snow depth and SWE,NOAA / NWS / NOHRSC,Snow / water supply,4.5,5,4,4.5,No,Ops Live / Snow,A,https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer,"Audit 0,3,4,7 and all named layers",https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer/0 ; https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer/3 ; https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer/4 ; https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer/7,https://www.nohrsc.noaa.gov/,https://mapservices.weather.noaa.gov/raster/rest/services/snow/NOHRSC_Snow_Analysis/MapServer?f=pjson,ArcGIS MapServer raster/mosaic,Known service lead,Raster/mosaic,Strong easy add; complements BRIM station SWE layer with gridded snow context.,"Identify correct Snow Depth and SWE layer IDs, units, legend, transparency, and exportImage behavior.",Batch 1
SPC_FIREWX,SPC fire weather outlooks,NOAA / NWS / Storm Prediction Center,Fire / wind / forecast,4.5,5,4,4.5,No,Fire / Forecasts,A/B,https://mapservices.weather.noaa.gov/vector/rest/services/fire_weather/SPC_firewx/MapServer,Audit all Day 1–8 sublayers,,https://www.spc.noaa.gov/products/fire_wx/,https://mapservices.weather.noaa.gov/vector/rest/services/fire_weather/SPC_firewx/MapServer?f=pjson,ArcGIS MapServer vector polygons,Known service lead,Polygon,"Very strong BLM/BRIM fit, especially with wind, fire, drought, and hazards.","Inspect sublayer IDs, category fields, update/valid time fields, legend, and source-link fields.",Batch 1
SPC_MESO_DISC,SPC mesoscale discussions,NOAA / NWS / Storm Prediction Center,Active weather / severe / fire-wind / winter,4,4.5,4,4.5,Maybe,Forecasts / Active Weather,A/B,https://mapservices.weather.noaa.gov/vector/rest/services/outlooks/spc_mesoscale_discussion/MapServer,Audit all,,https://www.spc.noaa.gov/products/md/,https://mapservices.weather.noaa.gov/vector/rest/services/outlooks/spc_mesoscale_discussion/MapServer?f=pjson,ArcGIS MapServer vector polygons,Known service lead,Polygon,Worth real estate even if initially a link; excellent active-event situational awareness.,"Check fields for MD number, issue/valid/expire times, discussion URL, and current/expired behavior.",Batch 1
SPC_CONVECTIVE,SPC convective outlooks,NOAA / NWS / Storm Prediction Center,Severe weather outlooks,3.5,4.5,4,4.5,No,Forecasts / Severe Weather,B,https://mapservices.weather.noaa.gov/vector/rest/services/outlooks/SPC_wx_outlks/MapServer,Audit all Day 1–8 categorical/probabilistic sublayers,,https://www.spc.noaa.gov/products/outlook/,https://mapservices.weather.noaa.gov/vector/rest/services/outlooks/SPC_wx_outlks/MapServer?f=pjson,ArcGIS MapServer vector polygons,Known service lead,Polygon,Popular and easy; useful situational context but less CA-core than fire weather.,Identify day/risk/probability layer IDs and valid-time fields.,Batch 3
