source_key,source_object_id,source_identifier,source_name,monument_id,geometry_role,use_for_semantic_display,role_basis
blm_current,59,NLCS000315,Fort Ord National Monument,nm_ca_fort_ord,complete_semantic_boundary_primary,TRUE,Current BLM boundary selected for the semantic monument.
blm_current,60,NLCS000316,Carrizo Plain National Monument,nm_ca_carrizo_plain,complete_semantic_boundary_primary,TRUE,Current BLM boundary selected for the semantic monument.
blm_current,282,NLCS000321,Browns Canyon National Monument,,out_of_scope_duplicate_durable_id,FALSE,Wholly in Colorado; the service currently reuses NLCS000321 also published for Chuckwalla.
blm_current,439,NLCS000320,Mojave Trails National Monument,nm_ca_mojave_trails,complete_semantic_boundary_primary,TRUE,Current BLM boundary selected for the semantic monument.
blm_current,451,NLCS000314,Santa Rosa-San Jacinto Mountains National Monument,nm_ca_santa_rosa_san_jacinto,complete_semantic_boundary_primary,TRUE,Selected once; the USFS current row is a near-identical whole-boundary duplicate.
blm_current,452,NLCS000318,Berryessa Snow Mountain National Monument,nm_ca_berryessa_snow_mountain,complete_semantic_boundary_primary,TRUE,Current complete boundary includes the 2024 Molok Luyuk expansion; USFS rows are agency components.
blm_current,453,NLCS002020,Sand to Snow National Monument,nm_ca_sand_to_snow,complete_semantic_boundary_context_only,FALSE,Complete-boundary QA reference; two final non-overlapping USFS-published agency components are selected instead and their union differs by only about 20.9 acres.
blm_current,454,NLCS000317,California Coastal National Monument,nm_ca_california_coastal,complete_semantic_boundary_primary,TRUE,Complete distributed offshore and onshore multipart boundary retained as one semantic monument.
blm_current,455,NLCS000732,Cascade-Siskiyou National Monument,nm_ca_cascade_siskiyou,complete_semantic_boundary_primary,TRUE,Complete California-Oregon boundary retained without state clipping.
blm_current,466,NLCS000321,Chuckwalla National Monument,nm_ca_chuckwalla,complete_semantic_boundary_primary,TRUE,Current California BLM boundary selected; durable ID collision with Browns Canyon is explicitly controlled by OBJECTID and source name.
usfs_current,13,122513010667,Giant Sequoia,nm_ca_giant_sequoia,complete_semantic_boundary_primary,TRUE,Current USFS merged designated-area boundary selected.
usfs_current,29,619cc883-eb7a-4f7b-8c8a-92083dae4dd9,Berryessa Snow Mountain,nm_ca_berryessa_snow_mountain,agency_component_context_only,FALSE,USFS-administered component; the BLM source supplies the current complete semantic boundary.
usfs_current,30,de48c2ee-0581-4e63-8659-b71e9f8c0b8f,Berryessa Snow Mountain,nm_ca_berryessa_snow_mountain,agency_component_context_only,FALSE,BLM-administered component published by USFS; not a second semantic display boundary.
usfs_current,41,92c1b735-5714-47ce-a40a-8f50f521bd2f,Saint Francis Dam,nm_ca_saint_francis_dam_disaster,complete_semantic_boundary_primary,TRUE,Current USFS boundary selected; public semantic name retains Disaster.
usfs_current,42,6064aa44-435c-49f7-9b3c-883818d681c6,Sand to Snow,nm_ca_sand_to_snow,agency_component_primary,TRUE,Final USFS-administered component (AREAID 013); selected with the non-overlapping BLM component as one shared semantic monument.
usfs_current,43,dca4f14b-dcb1-48d0-b55d-6bb3331d16ee,Sand to Snow,nm_ca_sand_to_snow,agency_component_primary,TRUE,Final BLM-administered component (AREAID BLM) published by USFS; selected with the non-overlapping USFS component as one shared semantic monument.
usfs_current,44,28f57232-91d3-41af-af4b-60a5498d17a2,San Gabriel Mountains,nm_ca_san_gabriel_mountains,complete_semantic_boundary_primary,TRUE,Current merged boundary includes the original monument and 2024 expansion.
usfs_current,45,ff26c06b-61ef-4ae5-807d-5b9e99901fcc,Santa Rosa and San Jacinto,nm_ca_santa_rosa_san_jacinto,duplicate_whole_boundary_context_only,FALSE,Near-identical whole-boundary duplicate of selected BLM geometry.
usfs_current,46,9f257df8-1f9c-45a9-a718-c7ddfac1eb30,Sattitla Highlands,nm_ca_sattitla_highlands,complete_semantic_boundary_primary,TRUE,Current USFS boundary selected; semantic public spelling retains Sáttítla.
usfs_legal_status,29,193561AD-E2F4-4F5C-AD97-DACD6FF283CE,Santa Rosa and San Jacinto,nm_ca_santa_rosa_san_jacinto,legal_status_boundary_history_only,FALSE,Legal-status evidence; duplicates current USFS geometry and is not a display source.
usfs_legal_status,63,331EC055-A605-4C8A-B7F1-5AFB3DE0B892,San Gabriel Mountains,nm_ca_san_gabriel_mountains,constituent_boundary_history_only,FALSE,2024 boundary-enlargement transaction; unions with the original row to the current boundary.
usfs_legal_status,73,3895C694-DD06-4014-BB0F-A237B20A563B,Sand to Snow,nm_ca_sand_to_snow,legal_status_boundary_history_only,FALSE,BLM component legal-status geometry; context only.
usfs_legal_status,77,600800BE-2B0F-4075-B984-370C8F7B3520,Sand to Snow,nm_ca_sand_to_snow,legal_status_boundary_history_only,FALSE,USFS component legal-status geometry; context only.
usfs_legal_status,91,42AA11D4-C1BC-4513-81A8-E9DAF8D47C58,Berryessa Snow Mountain,nm_ca_berryessa_snow_mountain,legal_status_boundary_history_only,FALSE,BLM component legal-status geometry; context only.
usfs_legal_status,173,99B558C1-EAF1-4611-9F54-39B70E923E92,Giant Sequoia,nm_ca_giant_sequoia,legal_status_boundary_history_only,FALSE,Legal-status evidence matching the current boundary; not a display source.
usfs_legal_status,228,CFF029F6-3BFF-458D-99B2-7B1D614788E1,San Gabriel Mountains,nm_ca_san_gabriel_mountains,constituent_boundary_history_only,FALSE,Original-boundary transaction; unions with the 2024 enlargement row to the current boundary.
usfs_legal_status,229,D0F7FF62-FC30-49D1-9811-E3C18CDBA9A4,Berryessa Snow Mountain,nm_ca_berryessa_snow_mountain,legal_status_boundary_history_only,FALSE,USFS component legal-status geometry; context only.
usfs_legal_status,231,D30FB256-CD61-47BF-8E09-BBBDF9820FEF,Sattitla Highlands,nm_ca_sattitla_highlands,legal_status_boundary_history_only,FALSE,Legal-status evidence matching the current boundary; not a display source.
