monument_id,value_id,raw_designation_object_or_purpose,normalized_value_family,concise_public_description,evidence_document_id,source_section_or_page,confidence,verification_date
nm_ca_berryessa_snow_mountain,nm_ca_berryessa_snow_mountain_value_01,Biologically diverse northern California landscapes and wildlife habitat.,Ecological / biological,Biologically diverse northern California landscapes and wildlife habitat.,nm_ca_berryessa_snow_mountain_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,High,2026-08-09
nm_ca_berryessa_snow_mountain,nm_ca_berryessa_snow_mountain_value_02,Lands important for scientific study.,Scientific,Lands important for scientific study.,nm_ca_berryessa_snow_mountain_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,High,2026-08-09
nm_ca_berryessa_snow_mountain,nm_ca_berryessa_snow_mountain_value_03,"Cultural landscapes, including the 2024 Molok Luyuk expansion and Tribal connections.",Cultural / Tribal,"Cultural landscapes, including the 2024 Molok Luyuk expansion and Tribal connections.",nm_ca_berryessa_snow_mountain_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,High,2026-08-09
nm_ca_berryessa_snow_mountain,nm_ca_berryessa_snow_mountain_value_04,Distinctive Coast Range geology and landscapes.,Geological / landscape,Distinctive Coast Range geology and landscapes.,nm_ca_berryessa_snow_mountain_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,High,2026-08-09
nm_ca_cabrillo,nm_ca_cabrillo_value_01,History of Juan Rodríguez Cabrillo’s 16th-century exploration and later coastal defense/lighthouse history.,Cultural / historic,History of Juan Rodríguez Cabrillo’s 16th-century exploration and later coastal defense/lighthouse history.,nm_ca_cabrillo_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,High,2026-08-09
nm_ca_cabrillo,nm_ca_cabrillo_value_02,"Rocky intertidal, coastal sage scrub, and marine/coastal ecosystems.",Ecological / biological,"Rocky intertidal, coastal sage scrub, and marine/coastal ecosystems.",nm_ca_cabrillo_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,High,2026-08-09
nm_ca_cabrillo,nm_ca_cabrillo_value_03,Point Loma coastal setting and views.,Scenic / landscape,Point Loma coastal setting and views.,nm_ca_cabrillo_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,High,2026-08-09
nm_ca_california_coastal,nm_ca_california_coastal_value_01,Coastal habitat for marine-dependent wildlife and vegetation.,Ecological / biological,Coastal habitat for marine-dependent wildlife and vegetation.,nm_ca_california_coastal_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,Medium-High,2026-08-09
nm_ca_california_coastal,nm_ca_california_coastal_value_02,Nesting habitat for seabirds and haul-out/breeding habitat for marine mammals.,Wildlife / habitat,Nesting habitat for seabirds and haul-out/breeding habitat for marine mammals.,nm_ca_california_coastal_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,Medium-High,2026-08-09
nm_ca_california_coastal,nm_ca_california_coastal_value_03,"Onshore units contain lighthouse, ranching, Indigenous, and coastal-history resources.",Cultural / historic,"Onshore units contain lighthouse, ranching, Indigenous, and coastal-history resources.",nm_ca_california_coastal_original,Authoritative proclamation/statute/agency summary; exact page extraction should be refreshed from packaged legal text when reacquired,Medium-High,2026-08-09
