"row_type","candidate_id","display_name","agency_or_provider","theme","external_group","external_group_order","external_subgroup","external_subgroup_order","primary_panel","recommended_patch_bucket","recommended_ui_tier","service_type","source_page","notes"
"current_catalog","","DWR Groundwater Depth Seasonal Contours","DWR / CNRA","Groundwater levels","Water / groundwater / water quality",10,"Groundwater levels",10,"external","already in catalog","","map","https://data.cnra.ca.gov/dataset/i08-groundwaterdepthseasonal-contours","Seasonal groundwater-depth contours. Service may be proxied through utility.arcgis.com."
"current_catalog","","DWR Recently Measured Groundwater Levels","DWR / CNRA","Groundwater levels","Water / groundwater / water quality",10,"Groundwater levels",10,"external","already in catalog","","feature","https://catalog.data.gov/dataset/californias-groundwater-live-supporting-data-eb38d/resource/15dcd342-e4e5-4a1c-b766-a417d373470c","Monitoring wells in DWR's groundwater elevation database with a groundwater elevation measurement reported in the last 18 months."
"current_catalog","","DWR Seasonal Groundwater Depth Contours","DWR / CNRA","Groundwater levels","Water / groundwater / water quality",10,"Groundwater levels",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_GroundwaterDepthSeasonal_Contours/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Seasonal Groundwater Depth Points","DWR / CNRA","Groundwater levels","Water / groundwater / water quality",10,"Groundwater levels",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_GroundwaterDepthSeasonal_Points/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Seasonal Groundwater Elevation Contours","DWR / CNRA","Groundwater levels","Water / groundwater / water quality",10,"Groundwater levels",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_GroundwaterElevationSeasonal_Contours/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Seasonal Groundwater Elevation Points","DWR / CNRA","Groundwater levels","Water / groundwater / water quality",10,"Groundwater levels",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_GroundwaterElevationSeasonal_Points/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Seasonal Groundwater Level Change Contours","DWR / CNRA","Groundwater levels","Water / groundwater / water quality",10,"Groundwater levels",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_GroundwaterLevelChangeSeasonal_Contours/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Seasonal Groundwater Level Change Points","DWR / CNRA","Groundwater levels","Water / groundwater / water quality",10,"Groundwater levels",10,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_GroundwaterLevelChangeSeasonal_Points/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Adjudicated Groundwater Areas","DWR / CNRA","Groundwater / SGMA","Water / groundwater / water quality",10,"Groundwater / SGMA",20,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_Adjudicated_Areas/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
"current_catalog","","DWR Critically Overdrafted Basins","DWR / CNRA","Groundwater / SGMA","Water / groundwater / water quality",10,"Groundwater / SGMA",20,"external","already in catalog","","map","https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_CriticallyOverdraftedBasins/MapServer","California DWR ArcGIS REST MapServer layer. Use as a visual overlay."
