monument_id,component_key,component_name,component_type,agency,managing_unit,source_identifier,relationship_to_monument,notes,verification_date
nm_ca_berryessa_snow_mountain,blm,BLM-administered lands,agency management component,BLM,Ukiah Field Office,NLCS000318,constituent/management component,Current BLM detail table office; monument also includes Forest Service lands.,2026-08-09
nm_ca_berryessa_snow_mountain,usfs,Forest Service-administered lands,agency management component,USFS,Mendocino National Forest,AREANAME=Berryessa Snow Mountain,constituent/management component,Do not infer exact component geometry from agency name alone; use authoritative source geometry.,2026-08-09
nm_ca_cabrillo,nps,Cabrillo NPS unit,agency management component,NPS,Cabrillo National Monument,CABR,constituent/management component,,2026-08-09
nm_ca_california_coastal,offshore,"Offshore rocks, islands, exposed reefs, and pinnacles",named constituent unit,BLM,California Coastal National Monument,NLCS000317,constituent/management component,Distributed offshore monument lands along the California coastline.,2026-08-09
nm_ca_california_coastal,trinidad_head,Trinidad Head Lighthouse,named constituent unit,BLM,California Coastal National Monument,NLCS000317,constituent/management component,Named onshore unit.,2026-08-09
nm_ca_california_coastal,waluplh,Waluplh-Lighthouse Ranch,named constituent unit,BLM,California Coastal National Monument,NLCS000317,constituent/management component,Named onshore unit.,2026-08-09
nm_ca_california_coastal,lost_coast,Lost Coast Headlands,named constituent unit,BLM,California Coastal National Monument,NLCS000317,constituent/management component,Named onshore unit.,2026-08-09
nm_ca_california_coastal,point_arena,Point Arena-Stornetta,named constituent unit,BLM,California Coastal National Monument,NLCS000317,constituent/management component,Named onshore unit.,2026-08-09
nm_ca_california_coastal,cotoni,Cotoni-Coast Dairies,named constituent unit,BLM,California Coastal National Monument,NLCS000317,constituent/management component,Named onshore unit.,2026-08-09
nm_ca_california_coastal,piedras_blancas,Piedras Blancas,named constituent unit,BLM,California Coastal National Monument,NLCS000317,constituent/management component,Named onshore unit.,2026-08-09
nm_ca_carrizo_plain,blm,Carrizo Plain BLM unit,agency management component,BLM,Bakersfield Field Office,NLCS000316,constituent/management component,,2026-08-09
nm_ca_cascade_siskiyou,blm,Cascade–Siskiyou BLM unit,agency management component,BLM,Ashland Field Office / Medford District,NLCS000732,constituent/management component,Complete CA+OR monument retained.,2026-08-09
nm_ca_castle_mountains,nps,Castle Mountains NPS unit,agency management component,NPS,Castle Mountains National Monument / Mojave National Preserve administration,CAMO,constituent/management component,,2026-08-09
