policy_id,topic,recommended_language,use,source_basis
policy-01,Designation,"Federal Wilderness is a congressional legal designation and is distinct from Wilderness Study Areas, proposed wilderness, recommended wilderness, and inventory lands.",README and popup details,Wilderness Act; BLM Wilderness program
policy-02,Management identity,One named wilderness may contain components administered by different federal agencies. The popup identifies both the named wilderness and the selected mapped component.,All multi-agency popups,BLM source managing-agency codes and component records
policy-03,BLM stewardship,Publication in a BLM GIS service does not by itself establish that BLM manages the entire named wilderness.,README and provenance,"Source includes BLM, USFS, NPS, and FWS records"
policy-04,Access,"Wilderness designation does not guarantee public access. Access may depend on roads, easements, private or tribal lands, closures, and current conditions.",All popups,General legal/visitor-information caution
policy-05,Rules,"Access, permits, fire restrictions, and other rules vary by managing agency and location. Review current managing-unit information before travel.",All popups,Agency-specific administration
policy-06,Motorized/mechanized use,"Motorized equipment and mechanized transport are generally prohibited in designated wilderness, subject to the Wilderness Act, area-specific public laws, valid existing rights, and authorized exceptions.",All popups,Wilderness Act and official BLM guidance
policy-07,Acreage,"GIS acreage can differ from statutory or published reference acreage because of source scale, boundary maintenance, multipart geometry, and differing acreage conventions.",All popups with acreage,"Comparison of source GIS, calculated, and interagency reference acreage"
policy-08,Boundary meaning,"The mapped polygon is an administrative/legal boundary, not a trail map and not a representation of safe or authorized access routes.",All popups,GIS boundary purpose
policy-09,Litigation,"A CourtListener, Google Scholar, or web-search link is a discovery tool and does not establish that litigation exists. Only curated case records are labeled verified litigation.",Popup links and litigation fields,Research-quality distinction
policy-10,Current conditions,"Closures, permits, quotas, fire restrictions, road conditions, and visitor rules can change. Use current official alerts and local-unit pages before travel.",All access sections,Official agency pages
