"agency","program","theme","external_group","external_group_order","external_subgroup","external_subgroup_order","external_layer_id","display_name","primary_panel","service_type","service_url","supports_popups","default_clickable","default_opacity","notes","source_page","geographic_scope","pt2_usage_note","priority","default_load_mode","where_clause","large_layer_warning","min_zoom_live","min_zoom_current_view","legend_url","legend_note","popup_fields","popup_aliases","popup_link_template","popup_link_label","identify_url","hover_fields","hover_aliases","hover_bold_fields","hover_no_label_fields","hover_round_fields","hover_show_native_field_names","default_label_field","out_fields","best_use","useful_for_visualization","style_field_candidates","default_style_field","default_style_method","style_units","style_legend_title","style_direction","field_curation_notes","show_native_field_names","load_badge","load_badge_override","load_score","load_score_override","load_note","load_audit_basis","load_n_tests","load_success_rate","load_median_seconds","load_p90_seconds","load_max_seconds","load_feature_cap_rate"
"CARB","Air / Smoke","Air Quality / Smoke","Air / Smoke",10,"CARB context",10,"EXT143","CARB air districts","external","feature","https://gis.carb.arb.ca.gov/hosting/rest/services/Hosted/Air_District_for_IMPEI/FeatureServer/0","True","True",0.22,"California air pollution control / air quality management district boundaries. Use for planning/permitting context, not live air quality. Useful links in popup: AirFire portal and AirNow Fire & Smoke Map. Real-time AQI/PM observations should be handled later as Ops Live feeds with API keys kept out of the static HTML.","https://gis.carb.arb.ca.gov/hosting/rest/services/Hosted/Air_District_for_IMPEI/FeatureServer/0","California","Stable context for local air district jurisdiction and air-quality planning language. Not a current air-quality measurement layer.","1","current_view","","Small statewide polygon context layer, but loaded by current map view for consistency with other External feature overlays.",,4,"","BRIM applies categorical colors by air district name for readability; colors are not official CARB symbology.","air_district_name;air_district_code;air_district_suffix;air_district_dba","Air district;District code;District suffix;District DBA","https://portal.airfire.org/||https://fire.airnow.gov/","AirFire portal||AirNow Fire & Smoke Map","","air_district_name","Air district","air_district_name","","","","air_district_name","*","Air district jurisdiction and planning/permitting context.","yes","air_district_name;gis_label_air_district;air_district_code","air_district_name","categorical_distinct","air district","Categorical colors by air district","","Styled by air_district_name to separate adjacent air districts; colors are BRIM-derived, not official CARB symbology.","","orange","yellow",3,2,"Audited load: slow (10/10 tests loaded; median 0.69 sec; p90 1.47 sec; max features 35).","BRIM load audit 2026-07",10,1,0.688675999641418,1.46648225784302,1.75083804130554,0
"CARB","Air / Smoke","Air Quality / Smoke","Air / Smoke",10,"CARB context",10,"EXT144","CARB air basins","external","feature","https://gis.carb.arb.ca.gov/hosting/rest/services/Hosted/Air_Basins_for_IMPEI_use/FeatureServer/0","True","True",0.2,"California air basin boundaries for broad regional air-quality context. Use for planning/permitting language, not live air quality. Useful links in popup: AirFire portal and AirNow Fire & Smoke Map. Real-time AQI/PM observations should be handled later as Ops Live feeds with API keys kept out of the static HTML.","https://gis.carb.arb.ca.gov/hosting/rest/services/Hosted/Air_Basins_for_IMPEI_use/FeatureServer/0","California","Stable context for regional air basin terminology and planning/permitting discussions. Not a current air-quality measurement layer.","2","current_view","","Small statewide polygon context layer, but loaded by current map view for consistency with other External feature overlays.",,4,"","BRIM applies categorical colors by air basin name for readability; colors are not official CARB symbology.","air_basin_name;air_basin_code","Air basin;Basin code","https://portal.airfire.org/||https://fire.airnow.gov/","AirFire portal||AirNow Fire & Smoke Map","","air_basin_name","Air basin","air_basin_name","","","","air_basin_name","*","Broad air basin context for smoke/air-quality planning and permitting language.","yes","air_basin_name;air_basin_code","air_basin_name","categorical_distinct","air basin","Categorical colors by air basin","","Styled by air_basin_name to separate adjacent air basins; colors are BRIM-derived, not official CARB symbology.","","yellow","yellow",2,2,"Audited load: moderate (10/10 tests loaded; median 0.39 sec; p90 0.59 sec; max features 17).","BRIM load audit 2026-07",10,1,0.391172528266907,0.58903272151947,0.655198097229004,0
"US EPA / AirNow","AirNow","Air Quality / Smoke","Air / Smoke",10,"Smoke / air quality",20,"AIRNOW_CURRENT_MONITORS","Air quality | AirNow monitors | current AQI","external","feature","https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/Air%20Now%20Current%20Monitor%20Data%20Public/FeatureServer/0","True","True",0.82,"Official AirNow monitor snapshot; refresh after pan/zoom. Data are preliminary and update roughly hourly. Circle fill uses AirNow/EPA AQI category colors for highest current Ozone/PM AQI when available. Popups include observation/source time fields and links to AirNow, AirNow Fire & Smoke, AirFire, and PurpleAir.","https://gispub.epa.gov/airnow/","National / current map view","Official AirNow monitor current-view layer. Zoom to a region first; use Refresh current view after panning. Popups include monitor/AQI fields and external air/smoke context links.","1","current_view","","Official AirNow monitor snapshot. Load/refresh at regional scale; observations are preliminary and update roughly hourly. Refresh current view after panning/zooming.",,4,"","AQI categories follow AirNow/EPA colors. Circle color is highest Ozone/PM AQI reported for the monitor when available.","SiteName;OZONEPM_AQI;OZONEPM_AQI_LABEL;PM25_AQI;PM25;PM25_Unit;OZONE_AQI;OZONE;OZONE_Unit;PM10_AQI;PM10;PM10_Unit;ValidTime;LocalTimeString;DataSource;MonitorType;Status;ReportingArea_PipeDelimited;AQSID;StateName","SiteName=Site;OZONEPM_AQI=Current AQI;OZONEPM_AQI_LABEL=Category;PM25_AQI=PM2.5 AQI;PM25=PM2.5;PM25_Unit=PM2.5 units;OZONE_AQI=Ozone AQI;OZONE=Ozone;OZONE_Unit=Ozone units;PM10_AQI=PM10 AQI;PM10=PM10;PM10_Unit=PM10 units;ValidTime=Valid time;LocalTimeString=Monitor local time;DataSource=Data source;MonitorType=Monitor type;Status=Monitor status;ReportingArea_PipeDelimited=Reporting area;AQSID=AQS ID;StateName=State","https://www.airnow.gov/||https://fire.airnow.gov/||https://portal.airfire.org/||https://map.purpleair.com/","Open AirNow||Open AirNow Fire & Smoke Map||Open AirFire portal||Open PurpleAir map","","SiteName;OZONEPM_AQI;OZONEPM_AQI_LABEL;PM25_AQI;OZONE_AQI;PM10_AQI;ValidTime;LocalTimeString","SiteName=Site;OZONEPM_AQI=AQI;OZONEPM_AQI_LABEL=Category;PM25_AQI=PM2.5;OZONE_AQI=Ozone;PM10_AQI=PM10;ValidTime=Valid;LocalTimeString=Local","SiteName","SiteName","OZONEPM_AQI;PM25_AQI;OZONE_AQI;PM10_AQI;PM25;OZONE","False","SiteName","SiteName;OZONEPM_AQI;OZONEPM_AQI_LABEL;OZONEPM_AQI_SORT;PM25_AQI;PM25;PM25_Unit;PM10_AQI;PM10;PM10_Unit;OZONE_AQI;OZONE;OZONE_Unit;ValidTime;LocalTimeString;DataSource;MonitorType;Status;ReportingArea_PipeDelimited;AQSID;StateName;Latitude;Longitude","Official current AQI point observations from permanent AirNow monitors; useful as the anchor air-quality layer during smoke/pollution events.","Yes. Point colors use official AQI categories; point density is limited by the official monitoring network.","OZONEPM_AQI_SORT;OZONEPM_AQI;PM_AQI_SORT;PM25_AQI_SORT;OZONE_AQI_SORT","OZONEPM_AQI_SORT","airnow_aqi","AQI","AirNow current AQI","higher_is_worse","Initial BRIM Ops Live AirNow monitor row. No counties in popup. Include useful smoke links in popup.","False","","yellow",,2,"","",,,,,,
"US EPA / AirNow","AirNow","Air Quality / Smoke","Air / Smoke",10,"Smoke / air quality",20,"AIRNOW_COMBINED_CONTOURS","Air quality | AirNow Ozone + PM2.5 combined contour AQI","external","feature","https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/AirNowLatestContoursCombined/FeatureServer/0","True","True",0.46,"Approximate AirNow latest-hour combined Ozone + PM2.5 AQI contour snapshot. Shows the highest recent AirNow AQI category across the combined pollutants represented by the service; contours can lag monitor points and are best at regional scale.","https://gispub.epa.gov/airnow/?tab=current&contours=ozonepm&monitors=none","United States / current map view","Approximate AirNow combined Ozone + PM2.5 AQI contour current-view layer. Good broad context beside monitor points; use Refresh current view after panning.","2","current_view","","Approximate AirNow combined Ozone + PM2.5 AQI contour snapshot. Load/refresh at regional scale; contours can lag monitor points and broad views may hit service limits.",,5,"","Gridcode values map to AirNow AQI categories: 1 Good, 2 Moderate, 3 USG, 4 Unhealthy, 5 Very Unhealthy, 6 Hazardous.","gridcode;Timestamp","gridcode=Combined AQI category;Timestamp=Contour timestamp","https://gispub.epa.gov/airnow/?tab=current&contours=ozonepm&monitors=none||https://www.airnow.gov/national-maps||https://fire.airnow.gov/||https://portal.airfire.org/","Open AirNow combined contour map||Open AirNow national maps||Open AirNow Fire & Smoke Map||Open AirFire portal","","gridcode;Timestamp","gridcode=Combined AQI;Timestamp=Time","gridcode","","","False","gridcode","gridcode;Timestamp;Unixtime;Id","Regional combined AirNow AQI context. Use monitor points and source portals for details.","Yes, but approximate. Polygons are interpolated contour surfaces, not sensor locations.","gridcode","gridcode","airnow_aqi","AQI category","AirNow combined Ozone + PM2.5 AQI contours","higher_is_worse","BRIM External AirNow combined contour row; service is EPA/AirNow hosted FeatureServer. Keep as optional regional context; no counties in popup.","False","","orange",,3,"","",,,,,,
"US EPA / AirNow","AirNow","Air Quality / Smoke","Air / Smoke",10,"Smoke / air quality",20,"AIRNOW_OZONE_CONTOURS","Air quality | AirNow ozone contour AQI","external","feature","https://services.arcgis.com/cJ9YHowT8TU7DUyn/ArcGIS/rest/services/AirNowLatestContoursOzone/FeatureServer/0","True","True",0.46,"Approximate AirNow latest-hour Ozone (O3) AQI contour snapshot. Contours can lag monitor points and are best at regional scale.","https://gispub.epa.gov/airnow/?tab=current&contours=ozone&monitors=none","United States / current map view","Approximate AirNow ozone AQI contour current-view layer. Useful for ozone-season/regional AQI context beside monitor points; use Refresh current view after panning.","3","current_view","","Approximate AirNow ozone AQI contour snapshot. Load/refresh at regional scale; contours can lag monitor points and broad views may hit service limits.",,5,"","Gridcode values map to AirNow AQI categories: 1 Good, 2 Moderate, 3 USG, 4 Unhealthy, 5 Very Unhealthy, 6 Hazardous.","gridcode;Timestamp","gridcode=Ozone AQI category;Timestamp=Contour timestamp","https://gispub.epa.gov/airnow/?tab=current&contours=ozone&monitors=none||https://www.airnow.gov/national-maps||https://fire.airnow.gov/||https://portal.airfire.org/","Open AirNow ozone contour map||Open AirNow national maps||Open AirNow Fire & Smoke Map||Open AirFire portal","","gridcode;Timestamp","gridcode=Ozone AQI;Timestamp=Time","gridcode","","","False","gridcode","gridcode;Timestamp;Unixtime;Id","Regional ozone AQI context. Use monitor points and source portals for details.","Yes, but approximate. Polygons are interpolated contour surfaces, not sensor locations.","gridcode","gridcode","airnow_aqi","AQI category","AirNow ozone AQI contours","higher_is_worse","BRIM External AirNow ozone contour row; service is EPA/AirNow hosted FeatureServer. Keep as optional regional context; no counties in popup.","False","","orange",,3,"","",,,,,,
"US EPA / AirNow","AirNow","Air Quality / Smoke","Air / Smoke",10,"Smoke / air quality",20,"AIRNOW_PM25_CONTOURS","Smoke / PM2.5 | AirNow latest contour AQI","external","feature","https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/AirNowLatestContoursPM25/FeatureServer/0","True","True",0.46,"Approximate AirNow PM2.5 AQI contour snapshot; contours can lag monitor points and are best at regional scale. Polygon fill uses AirNow/EPA AQI category colors for the latest PM2.5 contour gridcode; use with monitor points and source links during fast-changing smoke events.","https://gispub.epa.gov/airnow/?tab=current&contours=p25&monitors=none","United States / current map view","Approximate AirNow PM2.5 AQI contour current-view layer. Best at regional scale and as context beside monitor points; use Refresh current view after panning.","4","current_view","","Approximate AirNow PM2.5 AQI contour snapshot. Load/refresh at regional scale; contours can lag monitor points and broad views may hit service limits. Refresh current view after panning/zooming.",,5,"","Gridcode values map to AirNow AQI categories: 1 Good, 2 Moderate, 3 USG, 4 Unhealthy, 5 Very Unhealthy, 6 Hazardous.","gridcode;Timestamp","gridcode=PM2.5 AQI category;Timestamp=Contour timestamp","https://gispub.epa.gov/airnow/?tab=current&contours=p25&monitors=none||https://www.airnow.gov/national-maps||https://fire.airnow.gov/||https://portal.airfire.org/","Open AirNow PM2.5 contour map||Open AirNow national maps||Open AirNow Fire & Smoke Map||Open AirFire portal","","gridcode;Timestamp","gridcode=PM2.5 AQI;Timestamp=Time","gridcode","","","False","gridcode","gridcode;Timestamp;Unixtime;Id","Regional PM2.5/smoke AQI context. Use monitor points and source portals for details.","Yes, but approximate. Polygons are interpolated contour surfaces, not sensor locations.","gridcode","gridcode","airnow_aqi","AQI category","AirNow PM2.5 AQI contours","higher_is_worse","Initial BRIM Ops Live AirNow PM2.5 contour row. Keep as optional context; no counties in popup.","False","","orange",,3,"","",,,,,,
"EPA","Superfund / EPA public GIS","Superfund / cleanup","Contaminated sites",20,"Superfund / cleanup",10,"EPA_NPL_BOUNDARIES","Superfund sites | EPA NPL boundaries","external","feature","https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/FAC_Superfund_Site_Boundaries_EPA_Public/FeatureServer/0","True","True",0.7,"EPA public Superfund site-boundary features. Use as screening context; verify site status and boundary details with EPA source records.","https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/FAC_Superfund_Site_Boundaries_EPA_Public/FeatureServer/0","National","Screening context for Superfund/NPL site boundaries near BLM lands and water-resource review areas.","101","current_view","","National FeatureServer. Load current map view only; zoom in for better performance.",8,7,"","BRIM screening overlay; red/orange boundary styling is not a substitute for EPA source records.","SITE_NAME;EPA_ID;NPL_STATUS_CODE;EPA_PROGRAM;SITE_FEATURE_TYPE;SITE_FEATURE_NAME;CITY_NAME;COUNTY;STATE_CODE;REGION_CODE;LAST_CHANGE_DATE;URL_ALIAS_TXT","SITE_NAME=Site name;EPA_ID=EPA ID;NPL_STATUS_CODE=NPL status;EPA_PROGRAM=EPA program;SITE_FEATURE_TYPE=Feature type;SITE_FEATURE_NAME=Feature name;CITY_NAME=City;COUNTY=County;STATE_CODE=State;REGION_CODE=EPA region;LAST_CHANGE_DATE=Last change date;URL_ALIAS_TXT=Site URL","{URL_ALIAS_TXT}","Open EPA site page","","SITE_NAME;NPL_STATUS_CODE;EPA_ID","SITE_NAME=Site;NPL_STATUS_CODE=NPL;EPA_ID=EPA ID","SITE_NAME","SITE_NAME","","False","SITE_NAME","","Screening for Superfund/NPL boundaries and cleanup context near BLM review areas.","Contaminated-site boundary context; potential water-quality/groundwater/site-review screening.","","","","","","","Field names confirmed from EPA FeatureServer metadata for first-pass hover/popup curation.","False","yellow","",2,,"Audited load: moderate (10/10 tests loaded; median 0.27 sec; p90 0.76 sec; max features 120).","BRIM load audit 2026-07",10,1,0.265783071517944,0.76248128414154,1.06709718704224,0
"EPA","FRS / SEMS","Superfund / cleanup","Contaminated sites",20,"Superfund / cleanup",10,"EPA_SEMS_POINTS","Superfund / SEMS sites | EPA points","external","feature","https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/FRS_INTERESTS_SEMS/FeatureServer/0","True","True",0.72,"EPA SEMS/FRS point interests. National point layer can be dense; use current-view loading for screening.","https://services.arcgis.com/cJ9YHowT8TU7DUyn/arcgis/rest/services/FRS_INTERESTS_SEMS/FeatureServer/0","National","Screening context for SEMS/Superfund facility points near BLM lands and watersheds.","102","current_view","","National point FeatureServer. Load current map view only; broad extents may hit feature caps.",8,7,"","One-symbol BRIM screening overlay unless source status fields are later confirmed for categorical styling.","FACILITY_NAME;PRIMARY_NAME;REGISTRY_ID;PGM_SYS_ID;INTEREST_TYPE;ACTIVE_STATUS;ACTIVE_STATUS_DESCRIPTION;REGION_CODE;CITY_NAME;COUNTY_NAME;STATE_CODE;LOCATION_ADDRESS;LAST_REPORTED_DATE","FACILITY_NAME=Facility name;PRIMARY_NAME=Primary name;REGISTRY_ID=Registry ID;PGM_SYS_ID=Program system ID;INTEREST_TYPE=Interest type;ACTIVE_STATUS=Active status;ACTIVE_STATUS_DESCRIPTION=Status description;REGION_CODE=EPA region;CITY_NAME=City;COUNTY_NAME=County;STATE_CODE=State;LOCATION_ADDRESS=Address;LAST_REPORTED_DATE=Last reported","","","","FACILITY_NAME;PRIMARY_NAME;ACTIVE_STATUS;INTEREST_TYPE","FACILITY_NAME=Facility;PRIMARY_NAME=Name;ACTIVE_STATUS=Status;INTEREST_TYPE=Interest","FACILITY_NAME;PRIMARY_NAME","FACILITY_NAME;PRIMARY_NAME","","False","FACILITY_NAME","","Screening for EPA SEMS/Superfund point interests near BLM projects or water-resource review areas.","Cleanup/site point context; potentially contaminated-site screening.","","","","","","","First-pass field curation uses common FRS/SEMS field names; refine after BRIM field inspection if needed.","False","yellow","",2,,"Audited load: moderate (10/10 tests loaded; median 0.12 sec; p90 0.21 sec; max features 1250).","BRIM load audit 2026-07",10,1,0.119319081306458,0.212655448913574,0.349324941635132,0
"BLM California","DRECP ROD","DRECP","Desert Planning",30,"DRECP",10,"EXT131","DRECP ACEC polygons","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_CA_DRECP_ROD/FeatureServer/0","True","True",0.45,"BLM California DRECP Record of Decision layer. Planning/designation context; verify against official ROD/LUPA and local files for project decisions.","https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan","California desert / DRECP area","Screening context for desert renewable-energy/planning constraints and opportunities.","B","current_view","","DRECP polygon layer; load at project/local scale for best performance.",,6,"","BRIM applies deterministic categorical colors by Name for map readability; verify official designation boundaries and names against the source service/ROD.","Name;ConservationStatus;GIS_Acres;Type;ACEC_ID","Name;Status;Acres;Type;ACEC ID","","","","Name;ConservationStatus;GIS_Acres","Name;Status;Acres","Name","","","","","*","DRECP planning/designation screening.","yes","Name;Type;Designation;Development_DSG;Technology","Name","categorical_distinct","ACEC name","Categorical colors by ACEC name","","Styled by Name to distinguish adjacent ACEC polygons in BRIM; colors are not official BLM symbology.","","yellow","",2,,"Audited load: moderate (10/10 tests loaded; median 0.27 sec; p90 1.94 sec; max features 154).","BRIM load audit 2026-07",10,1,0.2697594165802,1.93636810779572,1.94742202758789,0
"BLM California","DRECP ROD","DRECP","Desert Planning",30,"DRECP",10,"EXT133","DRECP Development Focus Areas","external","feature","https://services1.arcgis.com/KbxwQRRfWyEYLgp4/arcgis/rest/services/BLM_CA_DRECP_ROD/FeatureServer/2","True","True",0.45,"BLM California DRECP Record of Decision layer. Planning/designation context; verify against official ROD/LUPA and local files for project decisions.","https://www.blm.gov/programs/planning-and-nepa/plans-in-development/california/desert-renewable-energy-conservation-plan","California desert / DRECP area","Screening context for desert renewable-energy/planning constraints and opportunities.","B","current_view","","DRECP polygon layer; load at project/local scale for best performance.",,6,"","","Development_DSG;Technology;SurfaceOccupancy;acres","Designation;Technology;Surface occupancy;Acres","","","","Development_DSG;Technology;acres","Designation;Technology;Surface occupancy","Development_DSG","","","","","*","DRECP planning/designation screening.","yes","Name;Type;Designation;Development_DSG;Technology","","","","DRECP planning layer","","Field names vary by DRECP sublayer; QA popups and hover after first build.","","green","",1,,"Audited load: fast (10/10 tests loaded; median 0.18 sec; p90 0.74 sec; max features 178).","BRIM load audit 2026-07",10,1,0.181233525276184,0.741525673866272,0.816986083984375,0
