"layer_id","source_nickname","display_name","implementation_status","enrichment_depth","color_basis","color_source_field","palette_key","category_definition","unknown_style","shared_management_style","legend_mode","filter_mode","auto_supported","auto_default","count_mode","primary_count_mode","primary_count_label","show_component_count","component_count_label","category_heading","feature_selection_supported","feature_selection_mode","feature_display_field","auto_zoom_supported","auto_zoom_default","zoom_padding","zoom_max","preserve_view_on_reset","retention_enabled","search_fields","feature_search_fields","category_sort_order"
"national_scenic_historic_trails","trails","National Scenic/Historic Trails","registry_contract","rich","trail_identity","NLCS_ID","trail_identity_v1","national_scenic_historic_trails","unknown","metadata_only","planned_interactive","planned_category_search",TRUE,TRUE,"semantic_feature","semantic_feature","National Scenic/Historic Trails",FALSE,"mapped trail segments","",FALSE,"none","NLCS_NAME",FALSE,FALSE,36,12,TRUE,FALSE,"NLCS_NAME|NLCS_ID|TRAIL_TYPE","NLCS_NAME|NLCS_ID|TRAIL_TYPE","nlcs000280|nlcs000281|nlcs000282|nlcs000283|nlcs000284|nlcs000285|unknown"
"national_monuments","monuments","National Monuments","registry_contract","rich","verified_managing_agency_component","AGENCY_COD","agency_provisional_v1","national_monuments","unknown","shared_multi","planned_interactive","planned_category_search",TRUE,TRUE,"semantic_and_geometry_component","semantic_feature","National Monuments",FALSE,"mapped polygon components","",FALSE,"none","NLCS_NAME",FALSE,FALSE,36,11,TRUE,FALSE,"NLCS_NAME|AGENCY_COD","NLCS_NAME|AGENCY_COD","blm|usfs|nps|fws|other_federal|shared_multi|unknown"
"ca_desert_ncl","cadesert_ncl","CA Desert National Conservation Lands","registry_contract","rich","verified_unit_or_neutral","","neutral_context_v1","ca_desert_ncl","unknown","metadata_only","none","none",FALSE,FALSE,"semantic_feature","semantic_feature","CA Desert National Conservation Lands",FALSE,"mapped polygon components","",FALSE,"none","NLCS_NAME",FALSE,FALSE,36,11,TRUE,FALSE,"NLCS_NAME","NLCS_NAME","context|unknown"
"wilderness_study_areas","wildernessstudyarea","Wilderness Study Areas","phase1_wsa","rich","normalized_recommendation_status","WSA_RCMND","wsa_recommendation_provisional_v1","wilderness_study_areas","unknown","metadata_only","interactive","category_search",TRUE,TRUE,"semantic_and_geometry_component","semantic_feature","Wilderness Study Areas",FALSE,"mapped polygon components","BLM recommendation for wilderness designation",TRUE,"semantic_feature_multi","pt_wsa_name",TRUE,TRUE,36,12,TRUE,TRUE,"NLCS_NAME|WSACODE_ca|CASEFILE_N|NLCS_ID|GlobalID","NLCS_NAME|WSACODE_ca|CASEFILE_N|NLCS_ID|GlobalID","suitable|non_suitable|no_recommendation|unknown"
"federal_wilderness","fedwilderness","Federal Wilderness","registry_contract","rich","verified_managing_agency_component","ManagingAg","agency_provisional_v1","federal_wilderness","unknown","shared_multi","planned_interactive","planned_category_search",TRUE,TRUE,"semantic_and_geometry_component","semantic_feature","Federal Wilderness Areas",FALSE,"mapped polygon components","",FALSE,"none","NAME",FALSE,FALSE,36,11,TRUE,FALSE,"NLCS_NAME|ManagingAg","NLCS_NAME|ManagingAg","blm|usfs|nps|fws|other_federal|shared_multi|unknown"
"drecp","drecp","DRECP","registry_contract","moderate","neutral_program_context","","neutral_context_v1","drecp","unknown","metadata_only","none","none",FALSE,FALSE,"geometry_component","semantic_feature","DRECP areas",FALSE,"mapped polygon components","",FALSE,"none","",FALSE,FALSE,36,9,TRUE,FALSE,"","","context|unknown"
"acec","acec","ACECs","registry_contract","rich","normalized_plan_family_or_neutral","","neutral_context_v1","acec","unknown","metadata_only","none","none",FALSE,FALSE,"semantic_feature_deferred","semantic_feature","ACECs",FALSE,"mapped polygon components","",FALSE,"none","ACEC_NAME",FALSE,FALSE,36,11,TRUE,FALSE,"ACEC_NAME|LUP_NAME","ACEC_NAME|LUP_NAME","context|unknown"
"grazing_allotments","allotments","Grazing Allotments","registry_contract","moderate","normalized_allotment_status","","allotment_status_deferred","grazing_allotments","unknown","metadata_only","planned_interactive","planned_category_plus_feature_search",TRUE,FALSE,"semantic_and_geometry_component","semantic_feature","Grazing Allotments",FALSE,"mapped polygon components","",FALSE,"none","ALLOT_NAME",FALSE,FALSE,36,12,TRUE,FALSE,"ALLOT_NAME|ALLOT_NO","ALLOT_NAME|ALLOT_NO","unknown"
"counties","county","Counties","registry_contract","basic","neutral_administrative_context","","neutral_context_v1","counties","unknown","metadata_only","none","none",FALSE,FALSE,"semantic_feature","semantic_feature","Counties",FALSE,"mapped polygon components","",FALSE,"none","county_name",FALSE,FALSE,36,9,TRUE,FALSE,"county_name","county_name","context|unknown"
"rwqcb_regions","rwqcb_regions","RWQCB Regions","registry_contract","basic","region_identity","rwqcb_region_num","rwqcb_provider_provisional_v1","rwqcb_regions","unknown","metadata_only","planned_interactive","planned_category_search",TRUE,TRUE,"semantic_feature","semantic_feature","RWQCB Regions",FALSE,"mapped polygon components","",FALSE,"none","rwqcb_region_name",FALSE,FALSE,36,9,TRUE,FALSE,"rwqcb_region_name|rwqcb_region_num","rwqcb_region_name|rwqcb_region_num","region_1|region_2|region_3|region_4|region_5|region_6|region_7|region_8|region_9|unknown"
"water_districts","water_districts","Water Districts","registry_contract","basic","neutral_feature_context","","neutral_context_v1","water_districts","unknown","metadata_only","none","none",FALSE,FALSE,"semantic_and_geometry_component","semantic_feature","Water Districts",FALSE,"mapped polygon components","",FALSE,"none","agency_display",FALSE,FALSE,36,12,TRUE,FALSE,"agency_display","agency_display","context|unknown"
