"layer_id","display_placement","evidence_requirement"
"national_scenic_historic_trails","popup_segment_verified_only","separate trail-wide administrator from geometry-level manager"
"national_monuments","hover_and_popup_when_verified","feature or geometry-level managing-agency evidence"
"ca_desert_ncl","popup_when_verified","verified unit or management-category evidence"
"wilderness_study_areas","popup","official BLM WSA family evidence; office requires feature evidence"
"federal_wilderness","hover_and_popup_when_verified","geometry-component managing-agency evidence"
"drecp","popup_authority_context","planning-authority evidence; do not imply land management"
"acec","popup","official BLM designation and plan evidence"
"grazing_allotments","popup","administration evidence separate from underlying ownership"
"counties","omit","not required for basic administrative context"
"rwqcb_regions","omit","not required; regional authority belongs in compact metadata"
"water_districts","omit","not required until governance is normalized"
